1
351.2686,323.6120,41.6988,116.8662
340.2408,327.1818,56.1497,116.2518
335.9271,332.9939,55.9242,107.9628
331.6489,332.3505,58.3246,111.6548
329.2639,333.7352,56.6155,110.1856
325.4830,334.3377,56.7253,110.9645
322.1825,332.4332,56.9671,112.4015
319.5215,333.5872,55.1028,111.6075
314.0868,333.6883,58.6327,112.8327
311.0054,333.1795,56.7000,115.2456
308.0915,336.0182,56.3311,110.7742
304.8241,336.0784,55.6504,110.8854
301.2688,337.8655,55.1719,109.6244
298.4362,332.6823,54.3698,114.3288
293.9236,336.4609,57.3415,112.4700
289.9824,332.6639,57.3776,114.8013
285.3493,332.3739,58.5049,115.9084
283.2051,335.2553,54.7616,113.3102
282.0642,332.5007,51.4373,114.9560
276.1750,331.8259,57.2332,114.3761
272.1737,333.9716,56.2166,115.6502
269.4493,333.9470,54.9795,111.4858
266.5667,331.8508,53.8494,115.2098
264.1107,330.6952,53.1015,113.5593
258.3874,332.5130,57.5300,111.3356
255.3247,330.1914,56.8453,113.5717
254.4747,330.0812,52.3683,111.2146
249.4543,327.8767,54.9346,113.6853
241.8231,333.4285,60.7734,106.1948
240.7785,326.9265,58.0562,112.5422
238.0922,329.8658,56.0476,108.4921
234.5049,329.1546,56.1400,107.3132
230.8029,325.2554,57.2487,111.3831
226.9223,326.6081,57.7556,108.2846
224.5740,323.1410,55.9764,110.9218
221.1351,318.3827,57.7540,114.1137
216.9298,320.5678,58.9211,112.4964
215.1586,316.2306,56.9505,111.9204
211.6031,315.8756,56.9803,116.1035
209.9133,312.8772,55.5247,113.6044
207.3184,313.5367,53.8895,113.5981
203.3047,311.7647,56.8065,111.2830
200.9916,312.1638,54.5741,109.7970
199.7370,309.3353,52.6842,109.2790
197.5303,307.1257,51.6141,109.9798
190.6187,303.0466,58.9269,112.6238
189.6166,302.9989,56.3468,113.5359
188.8322,298.3653,52.5216,113.2210
186.7640,300.5692,51.7194,109.9248
182.5460,295.5921,53.7610,111.1942
179.1539,298.1245,55.4355,106.8192
177.0446,293.6990,54.9199,109.6633
172.2258,295.4151,58.8453,103.0641
168.6249,292.2958,60.6995,105.9599
170.1068,285.7845,55.0453,109.2218
168.2087,285.8285,53.8464,107.4638
165.0956,281.2462,56.4720,110.7909
164.4171,281.0749,53.5100,108.5600
159.4962,274.7267,59.2264,112.8532
157.7791,275.9686,56.8885,111.6844
157.2311,274.0882,54.9358,105.2326
